canonical,domain,patterns,evidence_status,unit,comparable,time_window,description
age_years,demography,['(^|_)(age|edad)(_|$)'],direct,years,True,interview,Age at interview when explicitly present in the source dictionary.
sex,demography,['(^|_)(sex|sexo|gender)(_|$)'],direct,,True,interview,Source-coded sex/gender field; labels and coding remain source-specific.
adl_function,functionality_adl,['(^|_)(adl|iadl|bano|banarse|vestir|comer|caminar|subir|bajar)(_|$)'],direct,,False,interview,Activity/function item retained without collapsing instrument differences.
mobility_limitation,mobility,['(^|_)(mobil|movil|walking|caminar|stairs|escalera)(_|$)'],direct,,False,interview,Mobility item; crosswalk requires instrument-level review.
assistive_device,assistive_technology,['(^|_)(aid|device|ayuda|baston|silla|walker|lentes|audif)(_|$)'],direct,,False,interview,Use of an assistive device retained by source and item.
falls_12m,falls,['(^|_)(fall|caid).*(12|1|ultimo|year|ano)(_|$)'],direct,binary_or_count,False,last_12_months,"Fall measure with a one-year reference window, notably SABE wording."
falls_24m,falls,['(^|_)(fall|caid).*(24|2|two|dos)(_|$)'],direct,binary_or_count,False,last_24_months,"Fall measure with a two-year reference window, notably MHAS wording."
vision,sensory,['(^|_)(vision|vista|visual)(_|$)'],direct,,False,interview,Vision status or limitation retained with original response scale.
hearing,sensory,['(^|_)(hearing|audicion|oido|sordo)(_|$)'],direct,,False,interview,Hearing status or limitation retained with original response scale.
cognition,cognition,['(^|_)(cogn|memory|memoria|orient|recall)(_|$)'],direct,,False,interview,Cognitive item/score only when identified in the local documentation.
comorbidity,comorbidities,['(^|_)(diabet|diabetes|hipert|heart|corazon|arthritis|artr|cancer|enferm)(_|$)'],direct,,False,interview_or_history,Self-reported or measured condition retained without disease-score synthesis.
anthropometry,anthropometry_biometrics,['(^|_)(weight|peso|height|talla|altura|bmi|imc|waist|cintura)(_|$)'],direct,,False,measurement,Anthropometric/biometric field; units must be confirmed by documentation.
context,context,['(^|_)(urban|rural|region|estado|depart|educ|income|ingreso|hogar)(_|$)'],context_only,,False,interview,Contextual covariate retained for stratification and coverage reporting.
